brand         , name               , iso , format    , color_type    , description                                                                                                        , best_practice
Ilford        , HP5 Plus           ,  400, format_135, b_w           , "The ultimate 'do-it-all' B&W film with massive exposure latitude."                                                , "Highly flexible; a safe bet for beginners and pros alike in any light."
Ilford        , FP4 Plus           ,  125, format_120, b_w           , "Traditional grain B&W stock with a wide tonal range and high sharpness."                                          , "Great for fine art landscapes and architecture in bright light."
Ilford        , Delta 3200         , 3200, format_135, b_w           , "Ultra-high-speed film for extremely low-light environments."                                                      , "Designed to be shot at 3200 and pushed; expect heavy, moody grain."
Kentmere      , Kentmere Pan 100   ,  100, format_135, b_w           , "Affordable B&W film with fine grain and good contrast. Produced by Harman."                                       , "Ideal for daily practice and students. High value for the price."
Kentmere      , Kentmere Pan 400   ,  400, format_135, b_w           , "Budget high-speed B&W film. Slightly more gritty than HP5."                                                       , "A reliable workhorse for testing cameras and general street work."
Foma          , Fomapan 100        ,  100, format_135, b_w           , "Traditional Czech B&W film with a classic, 'old world' feel."                                                     , "Best in high-contrast light. Shadow detail drops off quickly."
Foma          , Fomapan 200        ,  200, format_135, b_w           , "Uses hexagonal grain for a more modern, sharp B&W aesthetic."                                                     , "A great middle-ground speed for overcast days and urban landscapes."
Foma          , Fomapan 400        ,  400, format_120, b_w           , "High-speed B&W film with a rough, traditional texture. High grain."                                               , "Perfect for a moody, 1960s reportage look in your medium format gear."
CineStill     , 800T               ,  800, format_135, color_negative, "Tungsten-balanced cinema film with red halation around highlights."                                               , "Shoot under neon signs or street lamps for the signature 'glowing' effect."
CineStill     , 400D               ,  400, format_120, color_negative, "Daylight-balanced motion picture stock. Soft, warm, and cinematic."                                               , "Very versatile for golden hour and outdoor street portraits."
Lomography    , Color Negative 100 ,  100, format_135, color_negative, "Vibrant consumer film with high saturation and punchy contrast."                                                  , "Best in direct sunlight for the most 'Lomo' saturated look."
Lomography    , Color Negative 400 ,  400, format_135, color_negative, "Reliable all-rounder with warm tones and moderate grain."                                                         , "Great for casual outings and point-and-shoot fun."
Lomography    , Color Negative 800 ,  800, format_135, color_negative, "Fast, warm consumer film. Pleasing but prominent grain."                                                          , "Excellent for night street photography and low-light indoor shots."
Harman        , Phoenix 200        ,  200, format_135, color_negative, "Experimental UK color film with high contrast and red halation."                                                  , "Embrace the 'imperfections' like color shifts and halation."
Wolfen        , NC500              ,  400, format_135, color_negative, "German-made stock with desaturated, earthy, cinematic tones."                                                     , "Ideal for a moody 'winter' vibe. Avoid for colorful landscapes."
Kodak (Motion), Vision3 500T       ,  500, format_135, color_negative, "True motion picture film (ECN-2). Requires remjet removal."                                                       , "The cinematic standard. Requires a lab that specifically handles ECN-2."
Kodak (Motion), Vision3 250D       ,  250, format_135, color_negative, "Daylight cinema stock with a massive dynamic range."                                                              , "Holds detail in bright highlights better than any other film on the market."
